NUMERO_CLIENT;DATE_CONTRAT;DEPARTEMENT;CIVILITE;NOM;PRENOM;DATE_NAISSANCE;TELEPHONE_FIXE;TELEPHONE_MOBILE;EMAIL;NUMERO_VOIE;NOM_VOIE;CODE_POSTAL;COMMUNE
FR-13052013-17519098;13/05/2013;37;M.;BOUSSARD;PAUL;05/08/1970;02.46.50.16.11;06.44.71.16.32;paul.boussard4988@laposte.net;83;IMPASSE CESAR;37250;SORIGNY
FR-14032010-18456919;14/03/2010;32;M.;CORVAISIER;GUY;12/03/1981;null;07.69.87.87.66;guy.corvaisier21@free.fr;104;RUE DU CHATEAU;32400;CAUMONT
FR-28082023-17710463;28/08/2023;39;M.;GUILLERM;HENRI;20/07/1993;03.63.92.80.80;07.02.36.21.79;henri.guillerm4737@wanadoo.fr;15;CHEMIN DE LA NOUELLE;39250;DOYE
FR-05082018-16539334;08/05/2018;25;Mme;RIGAUX;AVRIL;11/11/1970;null;06.64.37.19.28;avril.rigaux8937@free.fr;40;RUE PASTEUR;25270;SEPTFONTAINES
FR-17022012-16709073;17/02/2012;59;Mme;PATOUX;MARIE;24/08/1952;null;07.37.95.90.82;marie.patoux3431@gmail.com;50;IMPASSE JEAN DASTE;59132;GLAGEON
FR-01022020-17800249;02/01/2020;65;Mme;PELERIN;VIRGINIE;14/07/1976;05.36.33.11.36;07.09.01.40.80;virginie.pelerin3922@free.fr;137;RUE GEORGES GUYNEMER;65140;LESCURRY
FR-09102023-15754867;10/09/2023;58;M.;MARQUE;RAM;30/03/1961;null;07.00.92.41.18;ram.marque2905@laposte.net;87;PLACE DE LA GARE;58350;SAINT-MALO-EN-DONZIOIS
FR-20022016-16986291;20/02/2016;27;Mme;GARDET;CONSTANCE;11/01/1975;02.79.30.28.98;null;constance@gardet.fr;47;RUE DES REMPARTS;27370;SAINT-DIDIER-DES-BOIS
FR-25052023-17055103;25/05/2023;21;Mme;NOUIRA;MARTINE;15/08/1998;null;06.91.98.30.35;nouira.martine4095@gmail.com;8;SQUARE DES MERISIERS;21350;MASSINGY-LÈS-VITTEAUX
FR-30082022-17342807;30/08/2022;55;Mme;NEGRIER;JOHANNA;22/07/1961;03.72.02.14.28;06.90.97.50.28;negrier.johanna3144@wanadoo.fr;141;RUE MIGNERET;55270;VAUQUOIS
FR-13122014-16469210;13/12/2014;36;M.;THOMANN;LUC;23/03/1983;null;07.76.89.90.78;thomann.luc7371@free.fr;81;RUE DU CDT MARTIN;36400;LA BERTHENOUX
